"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Seguidores no Instagram",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Término,"Configuração de atribuição","CPM (custo por 1.000 impressões) (BRL)",Frequência,"CTR (taxa de cliques no link)","Cliques no link","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-07-03,2026-07-09,"❌ [MENSAGEM] [ENCOMENDAS] R$ 24,00",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"❌ [MENSAGEM] [PANETONE] R$ 20,00",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"❌ [TFG] [NATAL - CEIA - KELLYSSON] R$ 10,00",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"❌ [ALCANCE] [H FUNCIONAMENTO] 10,00",inactive,0,0,reach,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"❌ [TFG] [CESTAS - VEM COM DICAS] R$ 20,00",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"❌ [TFG] [KIT NATAL - VEM COM DICAS] R$ 10,00",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"❌ [TFG] [DISTRIBUIÇÃO DE CONTEÚDOS] R$ 30,00",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[SÃO LUIZ] - Campanha de reconhecimento Institucional",active,3,22117,reach,2.14902564,"Usando o orçamento do conjunto de anúncios",0,47.53,34332,22117,Contínuo,"Clique de 7 dias ou visualização de 1 dia",1.384423,1.55229,,,,
2026-07-03,2026-07-09,"[SÃO LUIZ] AÇÕES FEED | ENGAJAMENTO WHATSAPP",not_delivering,0,9,actions:onsite_conversion.messaging_conversation_started_7d,2.67333333,"Usando o orçamento do conjunto de anúncios",0,24.06,3237,2769,Contínuo,"Clique de 7 dias ou visualização de 1 dia",7.432808,1.169014,2.409639,78,,
2026-07-03,2026-07-09,"[São Luiz] - Campanha de tráfego IG",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[SÃO LUIZ Campanha de promoção do APP meu queridinho",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 1 dia, visualização de 1 dia ou visualização com engajamento de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[SÃO LUIZ] - Campanha de reconhecimento focada em incrementalidade na lembrança do anúncio",inactive,0,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,Contínuo,"Clique de 7 dias ou visualização de 1 dia",0,0,,,,
2026-07-03,2026-07-09,"[São Luiz] - Campanha de tráfego_só IG",active,58,1773,profile_visit_view,0.09346306,"Usando o orçamento do conjunto de anúncios",0,165.71,48176,30492,Contínuo,"Clique de 1 dia",3.43968,1.579955,2.422368,1167,,
2026-07-03,2026-07-09,"[SÃO LUIZ] Cliques no link_camarote são luiz",inactive,1,861,actions:link_click,0.08361208,"Usando o orçamento do conjunto de anúncios",0,71.99,16991,12456,Contínuo,"Clique de 7 dias ou visualização de 1 dia",4.236949,1.364082,5.067389,861,,
2026-07-03,2026-07-09,"[SÃO LUIZ] - Campanha para o App meu queridinho",active,2,530,actions:landing_page_view,0.16415094,10,Diário,87,21431,17381,Contínuo,"Clique de 7 dias ou visualização de 1 dia",4.05954,1.233013,3.05632,655,,
2026-07-03,2026-07-09,"[SÃO LUIZ] AÇÕES STORY | ENGAJAMENTO WHATSAPP",not_delivering,0,4,actions:onsite_conversion.messaging_conversation_started_7d,7.08,"Usando o orçamento do conjunto de anúncios",0,28.32,3366,2881,Contínuo,"Clique de 7 dias ou visualização de 1 dia",8.413547,1.168344,1.990493,67,,
